video_id,title,description,channel,published_at,thumbnail,video_url
ix9cRaBkVe0,Python Full Course for free 🐍 (2024),python #tutorial #beginners Python tutorial for beginners' full course 2024 *Learn Python in 1 HOUR* ...,Bro Code,2024-08-20T13:00:54Z,https://i.ytimg.com/vi/ix9cRaBkVe0/default.jpg,https://www.youtube.com/watch?v=ix9cRaBkVe0
mMv6OSuitWw,Python 101: Learn the 5 Must-Know Concepts,See NordPass Business in action now with a 3-month free trial here http://nordpass.com/techwithtim with code techwithtim If you're ...,Tech With Tim,2023-05-20T13:00:40Z,https://i.ytimg.com/vi/mMv6OSuitWw/default.jpg,https://www.youtube.com/watch?v=mMv6OSuitWw
xAcTmDO6NTI,Lecture 1: Introduction to CS and Programming Using Python,"MIT 6.100L Introduction to CS and Programming using Python, Fall 2022 Instructor: Ana Bell View the complete course: ...",MIT OpenCourseWare,2024-04-11T14:01:57Z,https://i.ytimg.com/vi/xAcTmDO6NTI/default.jpg,https://www.youtube.com/watch?v=xAcTmDO6NTI
P5An-rTtM_k,Amazing Rotating Python Graphics Design using Turtle 🐢 #python #pythonshorts #coding #viral #design,Python Projects for Begineers Python Turtle Programming with Turtle Turtle Graphics Drawing with Python Turtle Python Turtle ...,DEV19,2023-05-14T12:15:01Z,https://i.ytimg.com/vi/P5An-rTtM_k/default.jpg,https://www.youtube.com/watch?v=P5An-rTtM_k
nLRL_NcnK-4,Harvard CS50’s Introduction to Programming with Python – Full University Course,Learn Python programming from Harvard University. It dives more deeply into the design and implementation of web apps with ...,freeCodeCamp.org,2023-05-01T13:55:40Z,https://i.ytimg.com/vi/nLRL_NcnK-4/default.jpg,https://www.youtube.com/watch?v=nLRL_NcnK-4
eaMDDseIL7E,How to create graphics using Python turtle 🐍🐢 #coding,This tutorial will create colorful graphics using the python turtle library. Let's have some fun by making some excellent graphics in ...,Fun with Python,2022-08-24T16:52:44Z,https://i.ytimg.com/vi/eaMDDseIL7E/default.jpg,https://www.youtube.com/watch?v=eaMDDseIL7E
St48epdRDZw,How I Would Learn Python FAST in 2024 (if I could start over),Learn to build complex software https://app.codecrafters.io/join?via=thu-vu92 Master Python for AI Projects ...,Thu Vu data analytics,2024-06-19T15:04:05Z,https://i.ytimg.com/vi/St48epdRDZw/default.jpg,https://www.youtube.com/watch?v=St48epdRDZw
9lpbB078AdE,Create a Spiderman using python coding |python programer| #tech #python #coding,Create a Spiderman using python coding. In this video we learn about how to make a Spiderman using python coding/python ...,TitanTech,2022-06-28T04:40:16Z,https://i.ytimg.com/vi/9lpbB078AdE/default.jpg,https://www.youtube.com/watch?v=9lpbB078AdE
ZqS_lnqSgeY,3 EASY Python Project Ideas!! #python #programming #coding,"This short gives a few Python project ideas for beginners to do! Background Music: Rain, Book And Cup Of Tea by | e s c p ...",b001,2023-04-04T23:35:39Z,https://i.ytimg.com/vi/ZqS_lnqSgeY/default.jpg,https://www.youtube.com/watch?v=ZqS_lnqSgeY
b093aqAZiPU,👩‍💻 Python for Beginners Tutorial,"In this step-by-step Python for beginner's tutorial, learn how you can get started programming in Python. In this video, I assume ...",Kevin Stratvert,2021-03-25T10:00:08Z,https://i.ytimg.com/vi/b093aqAZiPU/default.jpg,https://www.youtube.com/watch?v=b093aqAZiPU
t8pPdKYpowI,Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],Python Tutorial for Beginners | Full Python Course | Learn Python in 2023 The Ultimate IT Beginner's Course: ...,TechWorld with Nana,2021-03-05T14:10:17Z,https://i.ytimg.com/vi/t8pPdKYpowI/default.jpg,https://www.youtube.com/watch?v=t8pPdKYpowI
eWRfhZUzrAc,Python for Beginners – Full Course [Programming Tutorial],Learn the Python programming language in this full course for beginners! You will learn the fundamentals of Python and code two ...,freeCodeCamp.org,2022-08-09T12:54:23Z,https://i.ytimg.com/vi/eWRfhZUzrAc/default.jpg,https://www.youtube.com/watch?v=eWRfhZUzrAc
W-8j4MrsX2s,Amazing Flower Design using Python turtle 🐢 #python #coding #funny #viral #trending #design,Python Projects for Begineers Python Turtle Programming with Turtle Turtle Graphics Drawing with Python Turtle Python Turtle ...,DEV19,2023-05-24T13:15:02Z,https://i.ytimg.com/vi/W-8j4MrsX2s/default.jpg,https://www.youtube.com/watch?v=W-8j4MrsX2s
Z1Yd7upQsXY,Python Tutorial for Absolute Beginners #1 - What Are Variables?,Learn Python programming with this Python tutorial for beginners! Tips: 1. Here is the playlist of this series: https://goo.gl/eVauVX ...,CS Dojo,2017-12-26T14:57:53Z,https://i.ytimg.com/vi/Z1Yd7upQsXY/default.jpg,https://www.youtube.com/watch?v=Z1Yd7upQsXY
Sl4zqWLC9Xw,Fastest way to learn Python #coding #python #programming,Fastest way to learn Python . ❣️ Save for later and subscribe for more! . For more content like this: ...,Sahil & Sarra,2023-08-30T13:00:21Z,https://i.ytimg.com/vi/Sl4zqWLC9Xw/default.jpg,https://www.youtube.com/watch?v=Sl4zqWLC9Xw
tDf1hMT-iRo,Superb graphics with python turtle | Python Turtle Graphics 20 | Awesome python turtle graphics,Here is the full source code: https://youtu.be/-k-m2IGTTXs Superb graphics with python turtle | Python Turtle Graphics 20 ...,Coding With Karthik,2022-06-27T19:25:55Z,https://i.ytimg.com/vi/tDf1hMT-iRo/default.jpg,https://www.youtube.com/watch?v=tDf1hMT-iRo
XKHEtdqhLK8,Python Full Course for free 🐍,python #tutorial #beginners Python tutorial for beginners full course Python 12 Hour Full Course for free (2024): ...,Bro Code,2021-02-15T15:00:12Z,https://i.ytimg.com/vi/XKHEtdqhLK8/default.jpg,https://www.youtube.com/watch?v=XKHEtdqhLK8
Y8Tko2YC5hA,What is Python? Why Python is So Popular?,What is Python? This short video explains it in 4 minutes. Python Tutorial for Beginners: https://youtu.be/_uQrJ0TkZlc Python ...,Programming with Mosh,2018-10-23T03:06:02Z,https://i.ytimg.com/vi/Y8Tko2YC5hA/default.jpg,https://www.youtube.com/watch?v=Y8Tko2YC5hA
5fN3JXwer2U,Guido van Rossum explains Python programming,Lex Fridman Podcast full episode: https://www.youtube.com/watch?v=-DVyjdw4t9I Please support this podcast by checking out ...,Lex Clips,2022-11-28T15:00:04Z,https://i.ytimg.com/vi/5fN3JXwer2U/default.jpg,https://www.youtube.com/watch?v=5fN3JXwer2U
JeznW_7DlB0,Python Object Oriented Programming (OOP) - For Beginners,"In this beginner object oriented programming tutorial I will be covering everything you need to know about classes, objects and ...",Tech With Tim,2020-03-29T17:02:09Z,https://i.ytimg.com/vi/JeznW_7DlB0/default.jpg,https://www.youtube.com/watch?v=JeznW_7DlB0
89cGQjB5R4M,Functions in Python are easy 📞,python #tutorial #course 00:00:00 functions 00:01:49 arguments 00:04:28 exercise #1 00:06:12 return 00:08:27 exercise #2 ...,Bro Code,2022-11-26T15:00:05Z,https://i.ytimg.com/vi/89cGQjB5R4M/default.jpg,https://www.youtube.com/watch?v=89cGQjB5R4M
HGOBQPFzWKo,Intermediate Python Programming Course,"Take your Python skills to the next level with this intermediate Python course. First, you will get a review of basic concepts such as ...",freeCodeCamp.org,2020-08-27T17:23:03Z,https://i.ytimg.com/vi/HGOBQPFzWKo/default.jpg,https://www.youtube.com/watch?v=HGOBQPFzWKo
QnTklwGfx2U,Normal People VS Programmers  #coding #python #programming #easy #funny #short,Normal People VS Programmers #coding #python #programming #easy #funny #short.,Fast Programming,2021-08-06T12:39:18Z,https://i.ytimg.com/vi/QnTklwGfx2U/default.jpg,https://www.youtube.com/watch?v=QnTklwGfx2U
FIZI3k7mTvA,what 10 years of coding looks like…,Full video on @jomakaze #coding #programming #tech #computerscience #math.,Joma Shorts,2022-05-22T23:43:57Z,https://i.ytimg.com/vi/FIZI3k7mTvA/default.jpg,https://www.youtube.com/watch?v=FIZI3k7mTvA
Kh5jZMM8h7Y,Python CLASSES in 50 Seconds! 🔥👨‍💻 #shorts,"Did you know this? python tutorial,python tutorial for beginners,python,python programming tutorial,learn python,python ...",truthybyte,2022-01-22T05:00:17Z,https://i.ytimg.com/vi/Kh5jZMM8h7Y/default.jpg,https://www.youtube.com/watch?v=Kh5jZMM8h7Y
DJt944p4-0Q,Heart Shape Pattern Turtle Graphics Design using Python 🤔 #coding #python #turtle #programming #code,"python turtle graphics tutorial,python turtle,python turtle graphics design,python turtle graphics,turtle graphics,turtle graphics ...",CodingWithNoman,2023-02-04T13:15:01Z,https://i.ytimg.com/vi/DJt944p4-0Q/default.jpg,https://www.youtube.com/watch?v=DJt944p4-0Q
GTQuRh0Vu3I,Python Interview Question #pythonprogramming #interview #python #programming,Welcome to today's Python challenge! Can you guess the output of this simple yet tricky Python code? Watch the video and ...,Coding With Sagar,2024-09-22T04:36:48Z,https://i.ytimg.com/vi/GTQuRh0Vu3I/default.jpg,https://www.youtube.com/watch?v=GTQuRh0Vu3I
8aW3tkIul-8,Let&#39;s code a beginner&#39;s Python BANK PROGRAM 💰,python #pythonprogramming #pythontutorial This is an exercise do help us learn about functions in Python. Code for this program ...,Bro Code,2024-05-30T15:37:01Z,https://i.ytimg.com/vi/8aW3tkIul-8/default.jpg,https://www.youtube.com/watch?v=8aW3tkIul-8
dB-0Q7wuikw,"100-Day Roadmap to Master #pythonprogramming  #javaprogramming , and #javascript","Learn Python, Java, and JavaScript in just 100 days! This ebook provides step-by-step roadmaps for each language, with practical ...",Coding With Sagar,2024-08-11T11:09:23Z,https://i.ytimg.com/vi/dB-0Q7wuikw/default.jpg,https://www.youtube.com/watch?v=dB-0Q7wuikw
8KCuHHeC_M0,Learn Python in 1 hour! 🐍 (2024),python #pythontutorial #pythoncourse This is a quick introduction to the Python programming language. If you would like to learn ...,Bro Code,2024-08-18T14:00:05Z,https://i.ytimg.com/vi/8KCuHHeC_M0/default.jpg,https://www.youtube.com/watch?v=8KCuHHeC_M0
k7LSFYyBZUs,Coding for 1 Month Versus 1 Year #shorts #coding,,Devslopes,2022-09-16T17:29:40Z,https://i.ytimg.com/vi/k7LSFYyBZUs/default.jpg,https://www.youtube.com/watch?v=k7LSFYyBZUs
apoWKUpNvas,Be a Python Pro with Enumerate,Enumerate is an important built in function in #python and #coding folks should know how to use it. Don't be a noob!,Rob Mulla,2023-01-17T21:47:26Z,https://i.ytimg.com/vi/apoWKUpNvas/default.jpg,https://www.youtube.com/watch?v=apoWKUpNvas
aIUqbB7R1v0,Python Turtle Graphics 7 | multi colors designs #CodingWithKarthik,Python Turtle Graphics 7 | multi colors designs new design with python Turtle #CodingWithKarthik #pythonturtlegraphics ...,Coding With Karthik,2022-05-25T13:41:19Z,https://i.ytimg.com/vi/aIUqbB7R1v0/default.jpg,https://www.youtube.com/watch?v=aIUqbB7R1v0
I72uD8ED73U,5 Good Python Habits,Here are 5 good habits you should consider building in Python. ▷ Become job-ready with Python: https://www.indently.io ...,Indently,2024-02-20T21:35:59Z,https://i.ytimg.com/vi/I72uD8ED73U/default.jpg,https://www.youtube.com/watch?v=I72uD8ED73U
k9WqpQp8VSU,How I Would Learn To Code (If I Could Start Over),"If I could go back in time and learn to code, I would do a lot of things differently. If I could start over, I'd spend more time doing ...",Namanh Kapur,2022-04-15T22:45:01Z,https://i.ytimg.com/vi/k9WqpQp8VSU/default.jpg,https://www.youtube.com/watch?v=k9WqpQp8VSU
tvNBf-C0Dy8,The Truth About Learning Python in 2024,Go from Zero to Python Developer - https://academy.internetmadecoder.com/python-dev-masterclass Learn Python with ...,Internet Made Coder,2024-03-18T13:00:51Z,https://i.ytimg.com/vi/tvNBf-C0Dy8/default.jpg,https://www.youtube.com/watch?v=tvNBf-C0Dy8
BVIoAILnZ4Q,#01 Python Programming Tutorial Series 📚| Introduction to Python 🧑‍💻| EMC ACADEMY 💪,"Welcome to our Python tutorial series on YouTube! In this series, I will be teaching you Python programming language from ...",Error Makes Clever,2023-05-07T03:30:06Z,https://i.ytimg.com/vi/BVIoAILnZ4Q/default.jpg,https://www.youtube.com/watch?v=BVIoAILnZ4Q
y1JMaJ_OkWM,A math GENIUS taught me how to LEARN ANYTHING in 3 months (it&#39;s easy),"If you're struggling, consider therapy with our paid partner. Click https://betterhelp.com/python for a discount on your first month of ...",Python Programmer,2024-09-24T09:31:30Z,https://i.ytimg.com/vi/y1JMaJ_OkWM/default.jpg,https://www.youtube.com/watch?v=y1JMaJ_OkWM
Y7uQ3dS2uss,What is Python?,Python #whatispython #pythonprogramming #programming #pythonintroduction.,Computer Science ,2022-09-10T09:51:37Z,https://i.ytimg.com/vi/Y7uQ3dS2uss/default.jpg,https://www.youtube.com/watch?v=Y7uQ3dS2uss
14BL_FwQCpM,Fastest Way to Learn ANY Programming Language: 80-20 rule,"1. Top programming Languages. 2. How to learn coding? 3. How to learn Python, Javascript or Java? 3. How to become a ...",Sahil & Sarra,2023-05-20T06:00:00Z,https://i.ytimg.com/vi/14BL_FwQCpM/default.jpg,https://www.youtube.com/watch?v=14BL_FwQCpM
